225,64
283,21
207,21
30,21
31,21
32,21
97,21
124,21
125,21
126,21
127,21
128,21
129,21
130,21
131,21
132,21
172,21
173,21
164,21
163,21
241,21
242,21
243,21
232,21
350,21
287,54
45,2
46,2
93,2
168,2
322,2
323,2
324,2
325,2
384,2
41,4
231,49
279,49
314,49
348,49
356,49
357,49
94,8
344,8
368,8
47,24
48,24
49,24
50,24
51,24
166,24
259,24
290,24
292,24
293,24
294,24
295,24
296,24
297,24
298,24
299,24
300,24
334,24
367,24
252,78
253,78
52,25
53,25
54,25
55,25
56,25
57,25
147,25
389,25
255,55
96,12
152,12
153,12
342,15
366,
333,
42,28
58,28
59,28
60,28
61,28
62,28
267,28
310,
234,3
63,3
64,3
71,3
72,3
73,3
65,3
66,3
67,3
68,3
69,3
70,3
83,3
84,3
85,3
98,3
175,13
209,13
210,13
247,13
339,9
29,32
74,32
75,32
76,32
77,32
78,32
79,32
80,32
81,32
82,32
86,32
87,32
235,32
237,23
282,23
286,23
281,23
99,20
100,20
101,20
120,20
331,20
203,10
318,48
352,48
90,
159,11
185,11
270,11
257,29
276,29
174,1
102,50
103,50
137,50
236,52
308,46
311,73
89,14
233,14
104,18
105,18
266,18
106,6
107,6
108,6
278,6
238,58
240,58
109,19
265,19
271,19
110,42
121,42
9,1
10,1
14,47
15,1
19,1
20,1
22,1
23,1
25,1
26,1
27,1
28,1
34,1
35,1
36,1
37,1
38,1
39,1
88,1
95,1
135,1
139,1
140,1
141,1
143,1
146,1
151,1
170,1
158,47
160,1
167,1
169,1
178,1
179,1
180,1
181,1
176,1
177,1
157,1
205,1
212,1
213,1
214,1
215,1
216,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
226,1
227,1
230,1
246,1
261,1
273,1
275,1
277,1
285,47
288,1
284,47
12,1
291,1
301,1
302,1
303,1
304,47
305,47
306,47
309,1
316,1
320,1
321,1
326,1
328,1
329,1
330,1
332,1
337,1
343,1
345,1
346,1
347,1
351,1
361,1
362,1
364,1
365,1
370,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
371,1
381,1
382,1
383,1
340,1
386,1
387,1
388,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
398,1
399,1
400,1
401,1
409,1
402,1
404,1
405,1
206,1
403,1
18,1
406,1
111,1
122,1
307,1
165,1
260,1
142,35
229,35
171,36
188,36
189,36
190,36
194,36
195,36
196,36
197,36
198,36
199,36
200,36
201,36
191,36
192,36
256,36
312,36
349,36
360,36
112,51
113,51
114,51
251,51
43,
115,44
116,44
134,44
262,44
269,44
239,60
204,61
249,62
40,47
202,47
248,16
44,31
91,31
117,31
118,31
182,31
183,31
184,31
244,31
245,31
133,31
156,27
155,41
268,41
315,41
317,41
353,41
335,
119,43
123,43
136,43
138,43
358,43
186,38
187,38
211,38
280,
258,37
313,37
397,37
228,63
341,17
7,
8,
11,
13,
16,
17,
407,
21,
33,
144,
154,
274,
6,
5,
145,
336,47
369,47
363,
250,
148,1
359,52
385,
149,52
354,
408,
217,1
92,39
161,39
319,39
379,39
380,39
150,34
264,34
338,40
263,5
272,5
355,5
24,33
208,33
254,33
